CLUB_NAME,PLAYERS_COUNT,PLAYERS_AVG_AGE,LEGIONARIES_COUNT,AVG_MARKET_VALUE,TOTAL_MARKET_VALUE,season
1.FC Köln,24,"23,5",2,-,-,1978
FC Schalke 04,24,"24,7",1,-,-,1978
SV Darmstadt 98,20,"26,9",1,-,-,1978
1.FC Nürnberg,25,"24,4",2,-,-,1978
Fortuna Düsseldorf,20,"25,7",1,-,-,1978
Arminia Bielefeld,19,"25,5",2,-,-,1978
Hamburger SV,20,"26,3",2,-,-,1978
Borussia Dortmund,24,"25,6",2,-,-,1978
Hertha BSC,25,"25,4",4,-,-,1978
Borussia Mönchengladbach,25,"25,0",3,-,-,1978
MSV Duisburg,25,"24,6",2,-,-,1978
Eintracht Braunschweig,21,"27,5",3,-,-,1978
VfB Stuttgart,21,"25,4",2,-,-,1978
FC Bayern München,19,"27,1",2,-,-,1979
VfL Bochum,23,"26,5",1,-,-,1979
1.FC Kaiserslautern,25,"25,7",2,-,-,1979
FC Schalke 04,23,"24,2",2,-,-,1979
SV Werder Bremen,22,"25,2",2,-,-,1979
1.FC Köln,22,"23,5",3,-,-,1979
Fortuna Düsseldorf,25,"24,5",0,-,-,1979
Bayer 05 Uerdingen,19,"27,5",2,-,-,1979
Bayer 04 Leverkusen,21,"26,9",0,-,-,1979
Hamburger SV,21,"26,1",3,-,-,1979
Borussia Dortmund,23,"24,8",1,-,-,1979
Hertha BSC,28,"25,2",5,-,-,1979
Borussia Mönchengladbach,26,"24,5",2,-,-,1979
MSV Duisburg,23,"23,6",2,-,-,1979
Eintracht Braunschweig,24,"26,1",2,-,-,1979
TSV 1860 München,22,"28,0",3,-,-,1979
Eintracht Frankfurt,23,"24,8",2,-,-,1979
VfB Stuttgart,21,"26,5",2,-,-,1979
Eintracht Frankfurt,24,"25,0",2,-,-,1980
VfB Stuttgart,24,"25,3",5,-,-,1980
1.FC Kaiserslautern,20,"26,7",2,-,-,1980
FC Bayern München,20,"26,1",2,-,-,1980
VfL Bochum,19,"27,0",2,-,-,1980
1.FC Köln,24,"24,1",3,-,-,1980
FC Schalke 04,27,"23,7",2,-,-,1980
